GAME_DATE_EST,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,PTS
2013-11-23,21300196,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,37:10:00,8,21,0.381,2,9,0.222,22
2013-11-18,21300154,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,33:15:00,7,15,0.467,4,7,0.571,22
2013-11-16,21300145,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,38:31:00,7,20,0.35,0,5,0,15
2013-11-14,21300124,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,43:07:00,8,22,0.364,4,8,0.5,22
2013-11-12,21300109,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,29:00:00,7,10,0.7,2,4,0.5,25
2013-11-09,21300091,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,34:22:00,7,18,0.389,4,10,0.4,22
2013-11-06,21300067,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,24:11:00,2,8,0.25,0,3,0,5
2013-11-04,21300048,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,29:13:00,7,16,0.438,2,9,0.222,18
2013-11-02,21300040,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,32:30:00,8,13,0.615,5,8,0.625,22
2013-10-31,21300019,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,38:29:00,14,23,0.609,9,14,0.643,38
2013-10-30,21300017,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,23:57,4,10,0.4,2,5,0.4,10
2013-10-24,11300107,1610612744,GSW,Golden State,201939,Stephen Curry,,,,31,7,22,0.318,1,5,0.2,17
2013-10-23,11300100,1610612744,GSW,Golden State,201939,Stephen Curry,,,,36,8,15,0.533,5,10,0.5,24
2013-10-18,11300072,1610612744,GSW,Golden State,201939,Stephen Curry,,,,21,3,12,0.25,1,5,0.2,9
2013-10-15,11300057,1610612744,GSW,Golden State,201939,Stephen Curry,,,,37,7,18,0.389,3,10,0.3,24
